Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,GAD_T,SWL_T,SPIN_T
42052.77984,1,1,1,0,0,1,0,1,2,2,4,4,3,1,1,10.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,18,3,1,4,15,9.0
42052.8042,0,0,0,0,0,0,0,0,5,3,5,5,5,1,1,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,27,1,-1,0,23,1.0
42052.82394,1,1,1,1,0,2,1,1,3,4,4,2,2,5,1,7.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0,21,2,1,7,15,17.0
42052.82683,2,1,2,2,2,2,2,1,6,7,6,6,3,1,0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,24,2,-1,13,28,3.0
42052.83695,1,1,0,0,1,2,0,1,6,5,3,3,5,1,1,4.0,20.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,0,18,3,1,5,22,30.0
42052.8442,2,2,2,1,0,0,0,1,2,4,4,5,5,1,1,20.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1,25,1,-1,7,20,24.0
42052.84958,2,2,2,2,1,0,2,2,2,2,1,3,2,4,1,25.0,35.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0,18,2,1,11,10,17.0
42052.85654,1,0,1,0,0,0,0,0,5,5,5,2,3,1,1,15.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,18,2,1,2,20,12.0
42052.86107,0,0,0,0,0,1,0,0,1,1,6,1,4,4,1,10.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,28,0,-1,1,13,11.0
42052.87256,0,0,0,0,1,1,0,1,5,6,5,6,6,1,1,30.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1,21,2,1,2,28,20.0
